log_id,station_id,user_id,start_time,end_time,energy_kwh,fee,payment_method
L007764,ST039,U00194,2026/07/05 07:06:00,2026-07-05 07:43:00,22.09,7665,Card
L003758,ST006,U00893,2026-06-12 04:16:00,2026-06-12 09:19:00,22.72,6634,MEMBERSHIP
L011162,ST019,U01213,2026-04-08 09:43:00,2026-04-08 10:24:00,112.74,39121,CARD
L005992,ST013,U02985,2026-03-14 17:59:00,2026-03-14 18:59:00,112.18,35898,APP
L005654,ST010,U02515,2026-06-06 00:20:00,2026-06-06 05:41:00,27.42,8007,MEMBERSHIP
L010572,ST019,U00148,2026-01-03 23:15:00,2026-01-04 00:00:00,88.35,30657,app
L004669,ST015,U00760,2026-07-18 11:05:00,2026-07-18 11:35:00,57.87,18518,MEMBERSHIP
L007688,ST009,U01737,2026-05-22 16:23:00,2026-05-22 16:47:00,12.31,4272,APP
L009797,ST034,U00869,2026/04/19 20:36:00,2026-04-19 21:05:00,82.03,31171,CARD
L006331,ST015,U01238,20260228000900,2026-02-28 00:49:00,89.78,28730,APP
L006884,ST029,U02645,2026/01/13 01:26:00,2026-01-13 07:37:00,43.11,12588,CARD
L002122,ST018,U00654,20260202172200,2026-02-03 00:39:00,28.15,8220,MEMBERSHIP
L004085,ST020,U02629,2026-01-19 08:11:00,2026-01-19 08:40:00,21.39,6845,CARD
L000143,ST014,U02492,2026-07-07 16:05:00,2026-07-07 16:43:00,27.38,10404,APP
L005681,ST023,U02502,2026/03/08 20:27:00,2026-03-08 21:19:00,33.37,10678,MEMBERSHIP
L011169,ST029,U00956,2026-06-27 02:30:00,2026-06-27 04:45:00,14.24,4158,CARD
L010336,ST039,U00416,20260425205800,2026-04-25 21:47:00,35.17,12204,MEMBERSHIP
L003574,ST011,U00797,2026-05-05 22:20:00,2026-05-05 23:06:00,71.06,22739,MEMBERSHIP
L011086,ST028,U00311,20260324233800,2026-03-24 23:59:00,21.39,6845,APP
L010003,ST028,U01257,2026-03-08 11:49:00,2026-03-08 12:38:00,45.68,14618,APP
L002611,ST001,U00208,2026-01-27 11:25:00,2026-01-27 12:22:00,117.88,44794,MEMBERSHIP
L008864,ST001,U01111,2026-07-17 20:47:00,2026-07-17 21:30:00,96.21,36560,MEMBERSHIP
L008346,ST002,U02182,2026-01-09 18:44:00,2026-01-09 21:57:00,30.07,8780,CARD
L002263,ST030,U02864,2026-07-18 15:37:00,2026-07-18 16:15:00,82.56,26419,APP
L005234,ST017,U02912,2026-05-18 18:37:00,2026-05-18 21:35:00,11.78,3440,CARD
L010670,ST040,U02571,2026-07-04 04:36:00,2026-07-04 08:09:00,31.55,9213,CARD
L009091,ST025,U02655,2026-07-22 02:51:00,2026-07-22 08:08:00,21.03,6141,MEMBERSHIP
L005098,ST007,U01095,20260325210500,2026-03-25 21:34:00,40.63,13002,APP
L003378,ST002,U01174,2026/04/09 07:18:00,2026-04-09 14:06:00,41.47,12109,CARD
L011566,ST033,U01283,2026-05-08 23:06:00,2026-05-08 23:30:00,53.0,16960,CARD
L007779,ST033,U00584,2026-03-11 01:28:00,2026-03-11 01:55:00,45.3,,CARD
L008794,ST018,U00178,2026-03-25 09:11:00,2026-03-25 16:26:00,28.95,8453,APP
L005046,ST028,U01989,2026-02-23 16:18:00,2026-02-23 16:58:00,54.2,17344,card
L011924,ST015,U02511,2026-07-29 19:44:00,2026-07-29 20:12:00,45.92,14694,APP
L006611,ST034,U00216,2026-03-23 20:04:00,2026-03-23 20:49:00,121.67,46235,app
L009509,ST003,U01754,2026-06-22 12:06:00,2026-06-22 12:55:00,84.74,27117,APP
L010863,ST019,U00690,2026-06-20 23:27:00,2026-06-20 23:59:00,84.03,29158,APP
L004498,ST034,U00193,20260116053500,2026-01-16 06:32:00,134.04,50935,MEMBERSHIP
L010120,ST006,U02410,2026-01-28 17:51:00,2026-01-28 23:24:00,25.74,7516,APP
L000458,ST012,U02133,2026-01-28 19:50:00,2026-01-28 20:23:00,20.06,6419,APP
L007823,ST028,U02916,20260515225300,2026-05-15 23:32:00,47.83,15306,MEMBERSHIP
L010717,ST034,U02408,2026-01-09 07:43:00,2026-01-09 08:18:00,100.14,,APP
L002519,ST040,U00112,2026-01-28 06:06:00,2026-01-28 09:32:00,33.87,9890,MEMBERSHIP
L009018,ST036,U00969,20260516001000,2026-05-16 04:26:00,28.67,8372,APP
L001831,ST023,U00910,2026/02/04 19:47:00,2026-02-04 20:22:00,24.51,7843,CARD
L003164,ST016,U01611,2026-05-03 00:20:00,2026-05-03 05:18:00,28.67,7311,CARD
L005897,ST039,U01092,2026/05/11 06:36:00,2026-05-11 06:59:00,14.07,4882,CARD
L004640,ST030,U00024,2026-01-16 17:40:00,2026-01-16 18:11:00,62.39,19965,MEMBERSHIP
L000494,ST013,U00698,2026/06/20 18:52:00,2026-06-20 19:18:00,58.85,18832,MEMBERSHIP
L000608,ST032,U02116,2026-04-08 00:26:00,2026-04-08 00:57:00,46.47,17659,MEMBERSHIP
L009842,ST035,U00288,2026-06-16 13:29:00,2026-06-16 19:05:00,43.26,11031,APP
L002210,ST027,U02263,2026-06-05 20:32:00,2026-06-06 00:34:00,24.17,7058,MEMBERSHIP
L011731,ST008,U00907,2026/02/03 01:04:00,2026-02-03 03:59:00,12.05,3073,MEMBERSHIP
L000447,ST031,U02869,2026-06-05 07:26:00,2026-06-05 08:06:00,69.48,26402,CARD
L003037,ST022,U00497,2026-07-03 19:21:00,2026-07-03 19:45:00,44.1,15303,MEMBERSHIP
L005260,ST021,U02934,2026-05-22 15:18:00,2026-05-22 19:20:00,21.88,6389,CARD
L004326,ST027,U01256,2026-05-09 19:28:00,2026-05-09 23:58:00,25.43,7426, APP 
L003328,ST004,U01784,2026-03-12 04:56:00,2026-03-12 05:56:00,91.06,29139,APP
L010934,ST019,U00164,2026-06-20 15:13:00,2026-06-20 15:43:00,72.88,25289,MEMBERSHIP
L007943,ST036,U00290,2026-04-25 16:11:00,2026-04-25 23:24:00,46.47,13569,APP
L003553,ST001,U02267,2026-01-16 05:37:00,2026-01-16 06:00:00,42.38,16104,MEMBERSHIP
L005222,ST020,U02202,2026/03/02 07:17:00,2026-03-02 07:56:00,25.01,8003,APP
L001147,ST025,U01828,20260420033600,2026-04-20 09:46:00,32.02,9350,CARD
L006255,ST020,U01984,2026-06-09 22:53:00,2026-06-09 23:24:00,22.91,7331,APP
L002430,ST007,U01544,2026/06/14 03:36:00,2026-06-14 04:03:00,47.58,15226,MEMBERSHIP
L003932,ST025,U02969,2026-05-21 08:03:00,2026-05-21 14:37:00,26.7,7796,MEMBERSHIP
L005577,ST016,U02592,2026-06-22 17:02:00,2026-06-23 00:36:00,37.51,9565,MEMBERSHIP
L007332,ST024,U01820,2026/07/06 07:40:00,2026-07-06 08:14:00,64.42,,CARD
L007492,ST040,U02666,2026-06-24 06:59:00,2026-06-24 10:38:00,22.88,,MEMBERSHIP
L006782,ST025,U00481,2026-03-19 21:16:00,2026-03-19 23:39:00,9.85,2876,APP
L006150,ST030,U00134,2026/06/10 15:41:00,2026-06-10 16:19:00,93.84,30029,MEMBERSHIP
L002715,ST015,U00739,2026/06/21 15:03:00,2026-06-21 15:57:00,102.28,32730,CARD
L007356,ST037,U00356,2026-02-26 16:53:00,2026-02-26 17:52:00,82.56,28648,APP
L011208,ST027,U01978,2026-06-25 17:07:00,2026-06-26 00:23:00,38.4,11213,CARD
L009851,ST027,U02969,2026-07-01 13:05:00,2026-07-01 18:04:00,22.76,6646,CARD
L005064,ST006,U02347,2026-01-28 04:41:00,2026-01-28 11:47:00,38.03,11105,MEMBERSHIP
L007894,ST036,U00517,2026/02/03 09:27:00,2026-02-03 15:46:00,51.37,15000,CARD
L007752,ST006,U02069,2026-03-19 07:30:00,2026-03-19 13:23:00,26.63,,MEMBERSHIP
L007931,ST019,U00683,2026/06/28 12:57:00,2026-06-28 13:49:00,102.66,-35623,APP
L011988,ST012,U01117,2026-03-05 00:32:00,2026-03-05 01:26:00,25.52,8166,CARD
L011777,ST016,U00300,2026-03-30 12:48:00,2026-03-30 20:09:00,35.05,8938,MEMBERSHIP
L003362,ST012,U02242,2026-03-12 04:39:00,2026-03-12 05:17:00,19.05,6096,MEMBERSHIP
L003732,ST007,U02785,2026-03-31 21:24:00,2026-03-31 22:20:00,99.37,31798,APP
L000741,ST016,U02051,2026-06-10 06:27:00,2026-06-10 10:42:00,24.79,6321,MEMBERSHIP
L007161,ST034,U01460,2026-02-16 21:37:00,2026-02-16 22:30:00,101.55,38589,MEMBERSHIP
L008828,ST024,U01922,2026-07-06 19:13:00,2026-07-06 20:08:00,137.25,47626,APP
L010182,ST011,U02321,2026-04-28 14:14:00,2026-04-28 14:51:00,73.63,23562,CARD
L000118,ST011,U00324,2026-01-17 10:41:00,2026-01-17 11:35:00,95.81,30659,MEMBERSHIP
L002070,ST030,U02877,2026/05/29 08:59:00,2026-05-29 09:38:00,99.66,31891,MEMBERSHIP
L005907,ST015,U02974,2026-01-18 01:25:00,2026-01-18 02:17:00,92.37,29558,CARD
L003658,ST040,U00156,2026-04-10 10:34:00,2026-04-10 17:32:00,52.74,15400,CARD
L005336,ST012,U01932,2026-06-03 14:44:00,2026-06-03 15:30:00,21.34,6829,CARD
L002095,ST013,U00311,2026/02/04 09:38:00,2026-02-04 10:16:00,99.23,31754,MEMBERSHIP
L007982,ST034,U00756,20260629053300,2026-06-29 06:10:00,104.28,39626,CARD
L006378,ST015,U00799,20260428104300,2026-04-28 11:17:00,50.74,16237,MEMBERSHIP
L008066,ST029,U02802,2026/06/10 07:16:00,2026-06-10 06:36:00,64.44,18816,CARD
L008983,ST023,U02471,2026-05-28 19:37:00,2026-05-28 20:37:00,42.15,13488,MEMBERSHIP
L003542,ST014,U02416,20260721191100,2026-07-21 19:55:00,28.54,10845,APP
L004690,ST005,U02474,2026/01/23 03:39:00,2026-01-23 03:59:00,42.27,13526,APP
L001585,ST031,U02612,2026-03-27 23:49:00,2026-03-28 00:43:00,90.91,34546,CARD
L007431,ST018,U01791,2026-07-29 00:05:00,2026-07-29 06:20:00,34.08,9951,MEMBERSHIP
L007095,ST010,U02462,20260613164500,2026-06-13 23:11:00,28.34,8275,APP
L003491,ST005,U00069,2026/06/24 03:03:00,2026-06-24 03:38:00,102.84,32909,MEMBERSHIP
L007858,ST012,U02166,2026-03-31 13:51:00,2026-03-31 14:20:00,18.27,5846,CARD
L007739,ST034,U00224,20260530202500,2026-05-30 20:49:00,56.5,21470,CARD
L003592,ST040,U02720,2026/06/09 00:06:00,2026-06-09 05:38:00,54.18,,APP
L010939,ST025,U01531,2026-02-19 22:36:00,2026-02-20 02:02:00,19.77,5773,CARD
L001231,ST030,U01623,2026-03-26 05:37:00,2026-03-26 06:13:00,102.21,32707,APP
L003887,ST013,U00033,2026-04-19 19:42:00,2026-04-19 20:07:00,66.69,21341,APP
L005906,ST005,U01132,2026-01-13 10:52:00,2026-01-13 11:18:00,59.05,18896,APP
L006074,ST027,U02445,2026-04-19 15:18:00,2026-04-19 19:07:00,20.53,5995,MEMBERSHIP
L004924,ST040,U02166,2026-01-26 03:24:00,2026-01-26 08:33:00,33.21,9697,APP
L011546,ST011,U01457,2026-05-08 04:07:00,2026-05-08 04:59:00,81.43,26058,CARD
L003390,ST014,U01471,20260319231700,2026-03-19 23:46:00,21.1,8018,APP
L001191,ST029,U01379,20260601042500,2026-06-01 08:54:00,31.62,9233,MEMBERSHIP
L009578,ST028,U01784,2026-03-14 06:37:00,2026-03-14 07:16:00,36.42,11654,APP
L005571,ST012,U01754,2026-03-01 13:48:00,2026-03-01 14:20:00,20.85,6672,MEMBERSHIP
L009739,ST020,U01491,2026-03-16 11:32:00,2026-03-16 12:14:00,30.73,9834,APP
L007081,ST039,U01558,2026-03-19 10:14:00,2026-03-19 10:56:00,21.5,7460,CARD
L009544,ST004,U02808,2026-06-30 13:09:00,2026-06-30 13:41:00,59.07,18902,MEMBERSHIP
L010477,ST023,U01261,2026-02-14 15:51:00,2026-02-14 16:29:00,27.31,8739,MEMBERSHIP
L000552,ST037,U02347,2026-06-27 08:39:00,2026-06-27 09:36:00,87.05,30206,APP
L006913,ST002,U00849,20260524032600,2026-05-24 06:00:00,20.63,6024,MEMBERSHIP
L004396,ST027,U02363,2026-01-10 08:03:00,2026-01-10 13:49:00,29.3,8556,APP
L006590,ST030,U02428,2026-01-16 07:39:00,2026-01-16 08:06:00,53.35,17072,CARD
L005818,ST009,U02139,2026-07-14 08:53:00,2026-07-14 09:24:00,20.89,7249,APP
L006282,ST028,U00344,2026-01-24 03:40:00,2026-01-24 04:39:00,65.65,21008,MEMBERSHIP
L011157,ST009,U01048,20260128231900,2026-01-28 23:45:00,15.47,5368,APP
L010384,ST039,U02509,20260728133900,2026-07-28 14:13:00,21.07,7311,APP
L008388,ST033,U01150,2026-02-02 15:11:00,2026-02-02 15:54:00,92.2,29504,CARD
L002623,ST035,U02525,2026/02/16 09:31:00,2026-02-16 15:24:00,54.97,14017,CARD
L011464,ST029,U02637,2026-07-13 22:39:00,2026-07-14 00:50:00,18.16,5303,APP
L001940,ST005,U01832,2026-01-22 10:41:00,2026-01-22 11:40:00,149.74,47917,CARD
L000850,ST031,U00462,20260331213600,2026-03-31 22:10:00,51.69,19642,APP
L006062,ST012,U00429,2026-04-17 21:54:00,2026-04-17 22:35:00,22.63,7242,APP
L004248,ST001,U02772,20260308114400,2026-03-08 12:40:00,112.9,42902,APP
L006583,ST024,U01976,2026-05-07 01:18:00,2026-05-07 01:58:00,73.97,25668,CARD
L002066,ST032,U01664,2026-07-24 20:38:00,2026-07-24 21:36:00,65.12,24746,MEMBERSHIP
L006501,ST004,U00539,20260719065400,2026-07-19 07:41:00,84.28,26970,APP
L006393,ST016,U02588,2026-01-05 12:49:00,2026-01-05 20:24:00,41.68,,APP
L000521,ST037,U02038,20260526085400,2026-05-26 09:15:00,,13467,CARD
L000261,ST040,U02963,2026-05-31 06:37:00,2026-05-31 11:40:00,48.69,14217,CARD
L006200,ST021,U00935,2026-03-03 04:07:00,2026-03-03 10:20:00,25.85,7548,MEMBERSHIP
L003817,ST005,U02375,2026-05-05 15:15:00,2026-05-05 15:38:00,52.74,16877,MEMBERSHIP
L010723,ST007,U00799,2026-02-15 03:26:00,2026-02-15 04:07:00,88.4,28288,MEMBERSHIP
L009397,ST018,U00878,2026/01/04 16:46:00,2026-01-04 22:59:00,30.75,8979,MEMBERSHIP
L011862,ST028,U02258,2026/04/18 11:16:00,2026-04-18 11:55:00,40.01,12803,MEMBERSHIP
L010968,ST014,U01716,2026-03-12 19:25:00,2026-03-12 19:53:00,15.41,,MEMBERSHIP
L005018,ST036,U02342,2026-06-17 10:15:00,2026-06-17 12:21:00,12.87,3758,APP
L006377,ST026,U01500,2026-05-14 08:24:00,2026-05-14 08:45:00,46.32,17602,MEMBERSHIP
L007853,ST036,U00327,2026/02/10 10:00:00,2026-02-10 13:52:00,34.35,10030,MEMBERSHIP
L009901,ST009,U00071,2026-02-27 04:43:00,2026-02-27 05:41:00,34.65,12024,CARD
L009137,ST040,U00652,2026-05-26 14:12:00,2026-05-26 18:09:00,37.24,10874,CARD
L010460,ST030,U01205,2026-07-14 19:14:00,2026-07-14 20:07:00,142.76,45683,APP
L005088,ST006,U01198,2026-04-28 09:27:00,2026-04-28 12:01:00,16.01,4675,APP
L011770,ST013,U00376,2026/06/03 03:08:00,2026-06-03 03:52:00,101.44,32461,MEMBERSHIP
L004016,ST012,U02206,2026-04-25 23:59:00,2026-04-26 00:30:00,20.57,6582,CARD
L011455,ST027,U01361,20260707040600,2026-07-07 09:07:00,23.73,,APP
L011749,ST028,U02128,2026/04/28 21:50:00,2026-04-28 22:18:00,27.32,8742,CARD
L008325,ST031,U02435,2026-04-16 14:29:00,2026-04-16 15:19:00,68.97,26209,card
L009353,ST031,U00223,2026-04-07 09:59:00,2026-04-07 10:43:00,74.62,28356, APP 
L010626,ST030,U02014,2026-04-29 01:55:00,2026-04-29 02:45:00,121.83,38986,APP
L001624,ST022,U02063,2026-01-29 22:15:00,2026-01-29 22:36:00,39.84,13824,MEMBERSHIP
L004341,ST018,U01141,20260623164000,2026-06-23 23:13:00,40.81,11917,CARD
L000421,ST039,U02749,2026-04-19 11:33:00,2026-04-19 12:17:00,27.86,9667,CARD
L000250,ST019,U01237,2026-01-08 07:58:00,2026-01-08 08:54:00,131.84,45748,APP
L008712,ST010,U01106,2026-05-09 16:33:00,2026-05-09 20:21:00,17.29,5049,MEMBERSHIP
L007662,ST029,U01305,2026-03-25 12:45:00,2026-03-25 18:17:00,35.95,,CARD
L004478,ST040,U01220,2026-04-15 04:24:00,2026-04-15 12:01:00,47.17,13774,MEMBERSHIP
L005993,ST022,U00632,2026-02-27 10:05:00,2026-02-27 10:57:00,71.79,24911,CARD
L001449,ST036,U00748,2026-03-03 22:15:00,2026-03-04 01:04:00,21.69,6333,APP
L001958,ST026,U01134,2026/01/16 15:32:00,2026-01-16 16:14:00,90.66,34451,APP
L007154,ST015,U02358,2026-05-02 15:33:00,2026-05-02 16:33:00,129.95,41584,CARD
L003458,ST034,U02187,2026-04-07 00:55:00,2026-04-07 01:39:00,-,"33,850",APP
L009120,ST014,U01509,2026/03/12 23:46:00,2026-03-13 00:37:00,29.29,11130,MEMBERSHIP
L011139,ST031,U01452,2026-05-27 01:02:00,2026-05-27 01:56:00,88.22,33524,app
L002281,ST018,U01656,2026-07-03 03:29:00,2026-07-03 09:09:00,33.59,9808,CARD
L006046,ST016,U01336,2026-04-30 21:05:00,2026-05-01 03:42:00,25.86,6594,MEMBERSHIP
L002787,ST026,U01121,20260601194700,2026-06-01 20:30:00,119.07,45247,CARD
L010889,ST032,U01687,2026-07-21 20:53:00,2026-07-21 21:37:00,59.58,22640,MEMBERSHIP
L003463,ST024,U01971,2026-05-13 11:52:00,2026-05-13 12:41:00,102.23,35474,APP
L000935,ST005,U01454,2026-03-14 02:42:00,2026-03-14 03:12:00,74.75,23920,APP
L008460,ST024,U00496,2026-01-20 16:49:00,2026-01-20 17:16:00,76.32,26483,APP
L010285,ST035,U01996,2026-07-02 18:54:00,2026-07-02 23:01:00,36.02,9185,MEMBERSHIP
L002999,ST037,U01211,2026-01-27 06:23:00,2026-01-27 06:45:00,44.02,15275,CARD
L010609,ST008,U02750,2026-02-21 10:00:00,2026-02-21 15:13:00,30.21,7704,Card
L006318,ST016,U00386,2026-04-12 10:18:00,2026-04-12 18:16:00,41.9,10684,MEMBERSHIP
L008276,ST023,U00899,2026-04-16 17:52:00,2026-04-16 18:49:00,35.52,11366, APP 
L003907,ST028,U01949,2026-07-16 08:28:00,2026-07-16 08:53:00,36.96,11827,MEMBERSHIP
L006375,ST022,U00355,2026-04-16 11:37:00,2026-04-16 12:21:00,94.31,32726,MEMBERSHIP
L004984,ST015,U02373,20260227092600,2026-02-27 10:13:00,97.38,,APP
L000485,ST029,U00336,2026-01-17 02:47:00,2026-01-17 07:25:00,35.12,10255,MEMBERSHIP
L004114,ST020,U02066,2026-07-06 05:46:00,2026-07-06 06:29:00,27.41,8771,APP
L001102,ST019,U00029,2026-03-15 01:58:00,2026-03-15 02:57:00,121.85,42282,CARD
L005015,ST007,U00008,2026-02-15 14:59:00,2026-02-15 15:56:00,103.87,33238,MEMBERSHIP
L009662,ST029,U01735,2026-02-22 02:59:00,2026-02-22 09:57:00,62.13,18142,CARD
L011438,ST024,U02593,2026-05-01 11:49:00,2026-05-01 12:27:00,97.46,33819,CARD
L010822,ST029,U02645,2026-06-06 05:18:00,2026-06-06 11:01:00,35.61,10398,Card
L004656,ST021,U01467,2026-02-01 16:54:00,2026-02-01 21:58:00,29.85,8716,CARD
L004361,ST004,U00038,2026-01-10 03:40:00,2026-01-10 04:15:00,68.64,21965,APP
L010985,ST005,U02238,2026-02-17 16:15:00,2026-02-17 16:36:00,53.05,16976,CARD
L004407,ST026,U00085,2026-07-04 04:37:00,2026-07-04 05:10:00,62.3,23674,CARD
L004920,ST015,U00638,2026-05-18 19:28:00,2026-05-18 20:17:00,78.13,25002,MEMBERSHIP
L006794,ST002,U02883,2026-02-01 04:35:00,2026-02-01 11:15:00,61.23,17879,Card
