code,fiscalYear,fiscalQuarter,revenue,operatingProfit,netIncome,totalAssets,totalEquity,announceDate
G0004,2025,4,518297663999,58936689496,37726275823,1951287222352,983843125220,2026-02-13
G0004,2026,1,424082645408,64462654503,52637132316,2001685509275,1009254047581,2026-05-14
G0004,2026,2,467871217195,71634640377,40793910041,2011970609187,1014439816608,2026-08-14
G0005,2023,3,132858421791,25504669274,19481035163,556605258601,261231458604,2023-11-14
G0005,2023,4,146067058392,22415290351,17295104165,551154766221,258673379871,2024-02-14
G0005,2024,1,118423957623,19408566854,12184794349,549490253158,257892174216,2024-05-14
G0005,2024,2,125066017816,18825192985,14633004674,540132395972,253500252573,2024-08-14
G0005,2024,3,119842938580,22816347232,18050542561,540898556085,253859834378,2024-11-14
G0005,2024,4,141418310393,27079772568,21796211110,550963813143,258583759892,2025-02-14
G0005,2025,1,114328829127,19091985365,13882031482,544017292799,255323550590,2025-05-14
G0005,2025,2,129364014356,24112862457,19597849732,552201791866,259164780252,2025-08-14
G0005,2025,3,118572490353,17744787611,13076747859,561273274575,263422297808,2025-11-14
G0005,2025,4,138762510341,24155655055,18408732539,580399671647,272398886741,2026-02-13
G0005,2026,1,131598628034,23823440717,17474172276,574017732283,269403652142,2026-05-14
G0005,2026,2,129494312272,20600735289,12324334845,577232671008,270912518829,2026-08-14
G0006,2023,3,7967449096,321734355,224781081,19053835528,12115624116,2023-11-14
G0006,2023,4,8959045673,368683165,240708825,19686398709,12517847475,2024-02-14
G0006,2024,1,7985156985,305839710,202525479,20061648878,12756455077,2024-05-14
G0006,2024,2,8044833584,233345285,194114649,20599525925,13098471051,2024-08-14
G0006,2024,3,8175155583,255411237,150477481,20267648110,12887442313,2024-11-14
G0006,2024,4,9194189066,261011502,194042020,19858312179,12627160845,2025-02-14
G0006,2025,1,7434878671,246202552,204247217,20372716182,12954251186,2025-05-14
G0006,2025,2,8025136665,334618695,262252054,20183739415,12834087900,2025-08-14
G0006,2025,3,8571612224,368770347,263318608,20795879177,13223324768,2025-11-14
G0006,2025,4,9781266235,419720018,290096341,21456615664,13643462483,2026-02-13
G0006,2026,1,8250623232,229055837,182218141,21361865941,13583214664,2026-05-14
G0006,2026,2,8649716198,294199377,210911886,20956752141,13325617892,2026-08-14
G0007,2023,3,825171868936,276727539518,198431386030,5068984497203,3531913273208,2023-11-14
G0007,2023,4,960583283234,222835716209,205008858912,5069005437404,3531927863699,2024-02-14
G0007,2024,1,774366364740,238517048662,194101517488,5133741064329,3577033667457,2024-05-14
G0007,2024,2,900039496287,327478573846,298106902143,5044639857775,3514950673465,2024-08-14
G0007,2024,3,843011852090,225934714075,207859936949,5103690471780,3556095334198,2024-11-14
G0007,2024,4,966506874318,269428035164,184291871596,5139911850118,3581333282153,2025-02-14
G0007,2025,1,848182107453,225347923705,165297326477,5035828759882,3508811370096,2025-05-14
G0007,2025,2,892890506095,308676278850,210176945860,5090207503097,3546700814234,2025-08-14
G0007,2025,3,836877559438,314135674771,240858813550,5219301352761,3636649458064,2025-11-14
G0007,2025,4,1033938843059,240976565788,184122236762,5311813775520,3701109283116,2026-02-13
G0007,2026,1,917750286472,343249348777,303426342919,5483330152458,3820616645707,2026-05-14
G0007,2026,2,887223786669,288588372381,265501302590,5469495230613,3810976895551,2026-08-14
G0008,2023,3,875690621699,135081732415,124275193822,3175788610832,1810998058116,2023-11-14
G0008,2023,4,992338995838,120366237698,91216002382,3235431799769,1845009673050,2024-02-14
G0008,2024,1,873952639850,124117693270,100061473968,3346776715084,1908504272385,2024-05-14
G0008,2024,2,919503520838,104519402658,83778623380,3417333964697,1948739646238,2024-08-14
G0008,2024,3,1004815364705,115842514177,106575113043,3471624074942,1979698660290,2024-11-14
G0008,2024,4,1026832552460,130609250867,120160510798,3514312082498,2004041558468,2025-02-14
G0008,2025,1,951540544058,160670940181,114305547380,3632721199056,2071564528800,2025-05-14
G0008,2025,2,1081862381512,168079003558,144195098002,3621943758013,2065418677425,2025-08-14
G0008,2025,3,995592430606,141978514773,117588210783,3690390352482,2104450447123,2025-11-14
G0008,2025,4,1129627835548,140979270354,108602206839,3761493721133,2144997246149,2026-02-13
G0008,2026,1,987421202506,124605365755,90583859087,3687900696945,2103030717444,2026-05-14
G0008,2026,2,1097441885877,158012036039,145371073155,3655627384225,2084626814091,2026-08-14
G0009,2023,3,7078813551,1666262564,1256713889,38239096276,20758941151,2023-11-14
G0009,2023,4,7667533559,2007802463,1780394873,38413321614,20853523238,2024-02-14
G0009,2024,1,6868220430,1995706489,1496789962,37515648075,20366201256,2024-05-14
G0009,2024,2,7076365552,1487236072,1357659919,38209011452,20742608937,2024-08-14
G0009,2024,3,6877993760,1474088629,1123754390,38474774524,20886884312,2024-11-14
G0009,2024,4,7611275027,2266410385,2085097554,38547138509,20926168706,2025-02-14
G0009,2025,1,7351529621,2239310154,1965164903,39828259155,21621653450,2025-05-14
G0009,2025,2,7364175899,1812920719,1667887061,40124497320,21782472906,2025-08-14
G0009,2025,3,7300557914,1960525709,1541989507,39124069041,21239368235,2025-11-14
G0009,2025,4,8438180091,2279101960,1997208692,39690462133,21546847282,2026-02-13
G0009,2026,1,7244520003,1598147770,1470295949,39615607902,21506211003,2026-05-14
G0009,2026,2,7549769983,1342621753,1121713017,38904360090,21120094361,2026-08-14
G0010,2023,3,83324870118,2302368085,1493427689,248192437659,160552375883,2023-11-14
G0010,2023,4,103067614849,4381611626,2252551396,254633750561,164719175242,2024-02-14
G0010,2024,1,87718603457,3607630232,2011338130,258246180760,167056008132,2024-05-14
G0010,2024,2,99579885499,4450968619,2299301143,263273568027,170308157866,2024-08-14
G0010,2024,3,95029398533,2622902499,1642927966,259232614650,167694119052,2024-11-14
G0010,2024,4,107057207741,4060004179,2493216741,259889924012,168119323707,2025-02-14
G0010,2025,1,90548080854,2843811281,1501044924,259883423476,168115118597,2025-05-14
G0010,2025,2,100506855001,4045912369,2605349441,261203629950,168969142547,2025-08-14
G0010,2025,3,98139791011,4457387606,2704430685,260954549327,168808015616,2025-11-14
G0010,2025,4,113676080429,5276375040,3869426759,263493555298,170450464696,2026-02-13
G0010,2026,1,94486418771,4355706527,2340022703,267272664042,172895119712,2026-05-14
G0010,2026,2,90851281767,2627879913,1631259730,262144403444,169577716366,2026-08-14
G0011,2023,3,23330645514,1999445633,1201432817,117925670603,67434213502,2023-11-14
G0011,2023,4,27089641547,2813622392,1623935688,118083929027,67524711460,2024-02-14
G0011,2024,1,24600899228,2210138552,1223216054,122189359893,69872347052,2024-05-14
G0011,2024,2,27265922811,2672831208,1638902962,119421573494,68289625512,2024-08-14
G0011,2024,3,23872982058,3041610633,1391493067,119116875299,68115387935,2024-11-14
G0011,2024,4,27010435704,3253669932,1499654018,120746712182,69047388302,2025-02-14
G0011,2025,1,23886036847,2496527510,1280543647,119184568457,68154097360,2025-05-14
G0011,2025,2,25307363322,2609820597,1183307179,119038072558,68070325644,2025-08-14
G0011,2025,3,26057762218,2797046702,1234344604,121026711019,69207501883,2025-11-14
G0011,2025,4,28338511011,3579501321,1892111177,118846187188,67960598568,2026-02-13
G0011,2026,1,24286228427,3103308468,1921705499,122163327901,69857461006,2026-05-14
G0011,2026,2,25675804776,3588582488,1561670986,120168563104,68716781504,2026-08-14
G0012,2023,3,5421432242,1334988343,629108085,43127589923,18443382782,2023-11-14
G0012,2023,4,5535594268,1478432896,716295492,43485896704,18596611588,2024-02-14
G0012,2024,1,4678648555,1141210589,688713313,43261141478,18500495699,2024-05-14
G0012,2024,2,5236189440,900215581,503218514,43737278517,18704114257,2024-08-14
G0012,2024,3,5679442305,1398404120,827234932,45241596922,19347431452,2024-11-14
G0012,2024,4,5792267367,1224589903,705739615,44191376404,18898307838,2025-02-14
G0012,2025,1,5047256935,1078568147,600362952,43234083461,18488924420,2025-05-14
G0012,2025,2,5002110852,839121796,383617713,42495318958,18172994025,2025-08-14
G0012,2025,3,5104011651,1090365644,538184866,42165350265,18031883916,2025-11-14
G0012,2025,4,6057427438,1131943398,627123489,42793084507,18300332557,2026-02-13
G0012,2026,1,4805480097,961814090,498000670,41901197878,17918919951,2026-05-14
G0012,2026,2,5393807897,949777873,521098918,43324930711,18527774970,2026-08-14
G0013,2023,3,117436137848,6971873371,5100365008,512329387207,248057252048,2023-11-14
G0013,2023,4,129000902086,7463947533,5268921430,528151342121,255717852350,2024-02-14
G0013,2024,1,114591661466,10640106345,6723690160,539567925926,261245480624,2024-05-14
G0013,2024,2,112108221044,6236334937,3817432062,531075651206,257133730677,2024-08-14
G0013,2024,3,111932131530,9798861686,6013084588,547576312697,265122943962,2024-11-14
G0013,2024,4,132055374689,8604741152,6452635881,548376687407,265510465654,2025-02-14
G0013,2025,1,120458874096,9971303262,5337347014,559705662233,270995675822,2025-05-14
G0013,2025,2,131026992725,11353367565,8249293222,570517856276,276230673481,2025-08-14
G0013,2025,3,122609941004,8152095968,5987093838,584543339654,283021466577,2025-11-14
G0013,2025,4,137676593699,12086650578,6644092243,573808625576,277823982805,2026-02-13
G0013,2026,1,123731333073,8097872626,5656832812,584860615981,283175083949,2026-05-14
G0013,2026,2,127152714841,10452995508,7788201394,601737064033,291346243817,2026-08-14
G0014,2023,3,7793422010,780524264,629841605,34741247344,20724227731,2023-11-14
G0014,2023,4,8734253471,754990329,511552425,34830255743,20777323993,2024-02-14
G0014,2024,1,7223334628,640805810,397084150,35921289357,21428159262,2024-05-14
G0014,2024,2,8323478497,543635490,441717192,36001163727,21475806792,2024-08-14
G0014,2024,3,7726206053,538149384,439831083,36345376288,21681140223,2024-11-14
G0014,2024,4,8597366580,645210291,505848820,36894503807,22008711759,2025-02-14
G0014,2025,1,7849801110,585591098,454394384,36127840803,21551373583,2025-05-14
G0014,2025,2,8677402183,532765173,430564142,36907456689,22016438553,2025-08-14
G0014,2025,3,7691335829,724793366,449905230,36388013307,21706574522,2025-11-14
G0014,2025,4,9399849200,635179835,498693796,37305457793,22253858512,2026-02-13
G0014,2026,1,8334013329,845712579,669666240,37527784706,22386483387,2026-05-14
G0014,2026,2,8390458127,612103278,454571299,38716187764,23095402539,2026-08-14
G0015,2023,3,89976517539,14161032709,11897017097,275442830127,128300493770,2023-11-14
G0015,2023,4,100506911491,18185600667,14754587650,275332853416,128249266928,2024-02-14
G0015,2024,1,82111721745,11343197050,10127581288,280118331263,130478329019,2024-05-14
G0015,2024,2,87578090165,11370614353,9728100701,282179342039,131438342028,2024-08-14
G0015,2024,3,86036376906,17742769530,11249415606,276003660938,128561727181,2024-11-14
G0015,2024,4,99614737781,19768548667,18187064774,271702346045,126558186829,2025-02-14
G0015,2025,1,89835511127,12727912849,11709679821,277653036827,129330001820,2025-05-14
G0015,2025,2,90194547440,13757316493,9496769116,279822084129,130340337939,2025-08-14
G0015,2025,3,91745737386,13528066217,10595304730,281677256381,131204471944,2025-11-14
G0015,2025,4,104276484119,19928649421,18334357467,287760006769,134037799926,2026-02-13
G0015,2026,1,85333592195,11255941408,9322184453,290998504555,135546283065,2026-05-14
G0015,2026,2,100590269030,18555909082,12804122073,296225215583,137980870328,2026-08-14
G0016,2023,3,18280324887,1270316949,833497498,68276023355,32662063247,2023-11-14
G0016,2023,4,21331767223,999186494,668651624,68713026729,32871118068,2024-02-14
G0016,2024,1,17949516867,868202960,575688152,68899606770,32960374718,2024-05-14
G0016,2024,2,19081796827,1274657336,674145393,68084250711,32570322546,2024-08-14
G0016,2024,3,18625029076,701613126,491516200,67852935308,32459665277,2024-11-14
G0016,2024,4,20469597976,1062818607,560473285,69526049783,33260054170,2025-02-14
G0016,2025,1,18756139745,808965040,472826421,70306209271,33633268914,2025-05-14
G0016,2025,2,19170593077,1320683361,925195780,72709496044,34782959548,2025-08-14
G0016,2025,3,21112643376,1265145084,600930163,74223586364,35507274049,2025-11-14
G0016,2025,4,23650230249,1276734738,770922457,74425230262,35603736986,2026-02-13
G0016,2026,1,19226347791,1125767996,781137005,74355594292,35570424348,2026-05-14
G0016,2026,2,21422120544,1122930899,644209862,74236353388,35513381572,2026-08-14
G0017,2023,3,451081258155,25287276676,18119323984,1959835951599,880083329187,2023-11-14
G0017,2023,4,504181319697,35332017221,30515868090,1926670062261,865189865130,2024-02-14
G0017,2024,1,424949271499,38444219484,29474425044,1894289828574,850649207356,2024-05-14
G0017,2024,2,462343395997,42808770176,27799959084,1926964551874,865322108545,2024-08-14
G0017,2024,3,454917650205,32322595674,21120611425,1961388607642,880780564432,2024-11-14
G0017,2024,4,491493320144,41976186067,37745411324,1941254591743,871739189450,2025-02-14
G0017,2025,1,454834432007,34217583651,27704263679,1921014191335,862650041472,2025-05-14
G0017,2025,2,442420515414,28546470171,24572327593,1957655542040,879104195142,2025-08-14
G0017,2025,3,487973357019,37808627473,26050166250,1990224944080,893729800797,2025-11-14
G0017,2025,4,490182892259,45556091259,40139500150,1947978087460,874758440367,2026-02-13
G0017,2026,1,413466358129,28044843141,24930248687,1905926147898,855874609331,2026-05-14
G0017,2026,2,452058177238,30046292434,22997406002,1915017761133,859957286372,2026-08-14
G0018,2023,3,36551325397,5531631270,3469573488,263378624437,181939828100,2023-11-14
G0018,2023,4,44221693537,7341449785,4923735523,270103206776,186585115307,2024-02-14
G0018,2024,1,35875553769,6008632663,4613534398,278216587547,192189773263,2024-05-14
G0018,2024,2,43258793261,8758047832,5115980460,285810035919,197435266114,2024-08-14
G0018,2024,3,41343919519,5788435183,3430263912,286724983223,198067304327,2024-11-14
G0018,2024,4,46753977947,7261475772,4445574807,284519275175,196543619009,2025-02-14
G0018,2025,1,35645679827,4681026560,3621244920,278560659958,192427455708,2025-05-14
G0018,2025,2,41749339912,5672755073,4541665703,280647465553,193869004170,2025-08-14
G0018,2025,3,41336021268,6280397800,4823610737,288073887822,198999116737,2025-11-14
G0018,2025,4,43739653326,9919639051,6212247638,296721066912,204972518263,2026-02-13
G0018,2026,1,38649325719,5759583204,4045671916,292059335790,201752232028,2026-05-14
G0018,2026,2,39662206894,7559232287,5429762587,290568675960,200722496248,2026-08-14
G0019,2023,3,942499067124,22889957609,20501146631,2117817754480,1016214444399,2023-11-14
G0019,2023,4,1028166400743,32613692457,23616469117,2146587523416,1030019340828,2024-02-14
G0019,2024,1,920041973077,24909658678,18232910720,2132735749504,1023372700577,2024-05-14
G0019,2024,2,996190255014,37995271082,34955649395,2151849433245,1032544217561,2024-08-14
G0019,2024,3,1034145020283,25297901591,18309971538,2216728116058,1063675628405,2024-11-14
G0019,2024,4,1201936367780,45463358784,31787967614,2290481071783,1099065273603,2025-02-14
G0019,2025,1,966103096957,26124140736,19925909875,2272559384814,1090465724786,2025-05-14
G0019,2025,2,1042568026793,29167114013,26833744892,2319484461123,1112982270531,2025-08-14
G0019,2025,3,1103601528180,39983145716,33331205495,2301010011035,1104117483657,2025-11-14
G0019,2025,4,1180549894171,26782158469,24160642510,2352091217121,1128628308232,2026-02-13
G0019,2026,1,985609522481,21565149362,16958954527,2421640295356,1162000763320,2026-05-14
G0019,2026,2,1052038321892,39109329307,31207963671,2422412806060,1162371445139,2026-08-14
G0020,2023,3,277881353443,16609856197,10381680944,615632533271,380588747077,2023-11-14
G0020,2023,4,344628327325,21155118356,12261827750,627921819342,388186077847,2024-02-14
G0020,2024,1,313968985016,14471961406,11403637339,636097236205,393240183166,2024-05-14
G0020,2024,2,336618873957,17337311984,10829968432,645298464705,398928453095,2024-08-14
G0020,2024,3,295878087712,15807587087,9026074115,655338377436,405135204039,2024-11-14
G0020,2024,4,363312703372,14231084824,8146725028,664897313511,411044611531,2025-02-14
G0020,2025,1,314710979666,16698393005,10344462758,664943201209,411072979657,2025-05-14
G0020,2025,2,353050344192,15972146710,11466205287,670515682331,414517930165,2025-08-14
G0020,2025,3,335440604172,19592778986,13886154744,679900851598,420319913685,2025-11-14
G0020,2025,4,385521377349,22706563354,13916611154,663967702975,410469919177,2026-02-13
G0020,2026,1,293585253524,15694522878,12116825206,660026846051,408033651245,2026-05-14
G0020,2026,2,358258633880,17555165832,11802357396,678281472160,419318800914,2026-08-14
G0021,2023,3,76994879343,4257165531,3584298045,210159214991,91869563110,2023-11-14
G0021,2023,4,80967564782,6773971995,6232054236,208667303568,91217384947,2024-02-14
G0021,2024,1,76594971487,4005442813,3059129048,215924730505,94389916031,2024-05-14
G0021,2024,2,74737369083,4446419737,3701657501,214068243388,93578366271,2024-08-14
G0021,2024,3,72270316597,5357623202,4586314104,209917703217,91763988005,2024-11-14
G0021,2024,4,82973215049,4459149396,3671714822,216544898021,94661017723,2025-02-14
G0021,2025,1,73721098755,4814783992,3617284504,213703364180,93418861995,2025-05-14
G0021,2025,2,73723875387,5847261335,5164021492,213970409795,93535599032,2025-08-14
G0021,2025,3,70920693978,4177138250,2819763637,213744912194,93437024406,2025-11-14
G0021,2025,4,79971875973,5725798206,4485372726,212260503329,92788125932,2026-02-13
G0021,2026,1,70663289598,3926285418,3045961922,214235400890,93651437950,2026-05-14
G0021,2026,2,72543905326,5892369523,5420979961,211121205842,92290090371,2026-08-14
G0022,2023,3,76252781193,5561896672,3944648958,260879552976,98246602543,2023-11-14
G0022,2023,4,81892069640,4328916407,3481451387,254667862179,95907294958,2024-02-14
G0022,2024,1,73666370167,5007451343,3678097896,253081042175,95309702420,2024-05-14
G0022,2024,2,72245835274,6163083003,5050396493,253568189577,95493160942,2024-08-14
G0022,2024,3,74713637920,4093740461,3179098144,256730037017,96683904966,2024-11-14
G0022,2024,4,87010780785,4674189546,2757641342,250930772528,94499916122,2025-02-14
G0022,2025,1,69117687105,4687925099,3192536951,249300517859,93885966195,2025-05-14
G0022,2025,2,71976191940,5400831445,4047014304,255378714164,96175000080,2025-08-14
G0022,2025,3,78349240006,6478202704,4906158937,252805682187,95206002521,2025-11-14
G0022,2025,4,79133703970,6254412761,5185572153,260492165631,98100713415,2026-02-13
G0022,2026,1,72185994379,4353347030,3664613082,265847886012,100117664630,2026-05-14
G0022,2026,2,77750146148,6107572077,4994469954,259827654428,97850460118,2026-08-14
G0023,2023,3,318513819193,38447740140,34457843742,1241132019004,791964072399,2023-11-14
G0023,2023,4,381114503298,44573456644,41007580113,1249678985278,797417875954,2024-02-14
G0023,2024,1,325726412459,56089278149,51602135897,1251877604389,798820810789,2024-05-14
G0023,2024,2,353850025338,39780523824,32198009486,1280981366899,817391868442,2024-08-14
G0023,2024,3,340775572347,55859649655,48082679598,1288061304045,821909563392,2024-11-14
G0023,2024,4,371092143053,58816322642,45166354167,1298073618555,828298402977,2025-02-14
G0023,2025,1,352957324648,37502018732,29394835730,1339184885542,854531427286,2025-05-14
G0023,2025,2,377877114353,59680874073,44509894938,1356993426939,865895024995,2025-08-14
G0023,2025,3,381678875080,57217020225,50593858408,1325453718564,845769594739,2025-11-14
G0023,2025,4,409109167317,63486511739,58407590800,1352811577200,863226594321,2026-02-13
G0023,2026,1,347171022636,64465658213,49341722019,1354290076791,864170022208,2026-05-14
G0023,2026,2,404537955852,64381495346,59230975718,1382536169917,882193802594,2026-08-14
G0024,2023,3,43140068566,5292416785,4052352933,200582602363,101594911007,2023-11-14
G0024,2023,4,56177874815,7173829801,4857922569,204871974605,103767474261,2024-02-14
G0024,2024,1,46628063476,6728567189,5347165912,209174656464,105946778824,2024-05-14
G0024,2024,2,48895913814,7358021468,5933818446,215385505802,109092568530,2024-08-14
G0024,2024,3,46757537007,6693868330,4516227725,210750001226,106744689555,2024-11-14
G0024,2024,4,55493414143,7962965693,6412555270,210305683314,106519642925,2025-02-14
G0024,2025,1,45186044473,5872500684,4242337808,211093899156,106918873553,2025-05-14
G0024,2025,2,46584618534,5287037625,4625899854,206566679670,104625840880,2025-08-14
G0024,2025,3,47533320537,4902340488,3929234401,210086708180,106408732213,2025-11-14
G0024,2025,4,53621364665,5717272114,4942676114,210331187083,106532560561,2026-02-13
G0024,2026,1,46172662657,4335321057,2827982350,215403563291,109101714632,2026-05-14
G0024,2026,2,49290547680,4879714955,4219998397,212385468439,107573052254,2026-08-14
G0025,2023,3,118391598319,6165077417,4969588978,431201270608,228493723046,2023-11-14
G0025,2023,4,144603790118,7373796511,6783892790,442437187742,234447639959,2024-02-14
G0025,2024,1,126508370929,9927478971,7462275784,452864786188,239973228480,2024-05-14
G0025,2024,2,135941867493,10911569705,8366149252,464707095325,246248472754,2024-08-14
G0025,2024,3,136462016965,9736349166,6741172072,471376166499,249782416195,2024-11-14
G0025,2024,4,162320629077,8050998907,7406918995,478306144585,253454614310,2025-02-14
G0025,2025,1,130921252473,7263112279,6682063296,484766940646,256878192687,2025-05-14
G0025,2025,2,145483346410,9388143133,6390549598,485366395398,257195843995,2025-08-14
G0025,2025,3,144080034133,6728018351,5461620054,481075985738,254922354228,2025-11-14
G0025,2025,4,153317468146,8961474627,8244556657,472880883894,250579766534,2026-02-13
G0025,2026,1,137228694356,10280292069,9457868704,488045211170,258615349528,2026-05-14
G0025,2026,2,150840593904,8736401389,6143708443,489413521884,259340417914,2026-08-14
G0026,2023,3,92551360092,9544505051,8780944647,461518015107,267947460267,2023-11-14
G0026,2023,4,95683837987,8156420752,7001000202,472749141117,274468011127,2024-02-14
G0026,2024,1,84860063363,6877567738,6244322984,465391476111,270196308642,2024-05-14
G0026,2024,2,87174870589,6033350441,4640273904,472450233291,274294471654,2024-08-14
G0026,2024,3,82558977923,8003921094,6927832403,462645303672,268601939828,2024-11-14
G0026,2024,4,91236838849,9599831775,8318111542,455612813023,264519026600,2025-02-14
G0026,2025,1,81932701917,6389925920,4499051984,466924669261,271086447699,2025-05-14
G0026,2025,2,91035731765,8485055429,7433931275,481182553030,279364269191,2025-08-14
G0026,2025,3,94939808620,5881992265,4510122028,493599711123,286573404839,2025-11-14
G0026,2025,4,108450655740,9693633370,7550387828,481597486803,279605170840,2026-02-13
G0026,2026,1,91049185895,5694963778,4881816248,474663486758,275579439144,2026-05-14
G0026,2026,2,88722436314,8384331505,6629935466,477379419962,277156251707,2026-08-14
G0027,2023,3,197125228697,15126218338,10654176104,684211391379,352240922207,2023-11-14
G0027,2023,4,218338109057,14724265946,9858403763,674833262921,347412939718,2024-02-14
G0027,2024,1,191377595657,13355424838,11199704528,694628845327,357603962975,2024-05-14
G0027,2024,2,191064796925,13594980302,10063380492,690014469420,355228422250,2024-08-14
G0027,2024,3,192687033020,14834773565,9357030296,680964636162,350569450398,2024-11-14
G0027,2024,4,207367715745,11248026032,6401091760,684727195786,352506465024,2025-02-14
G0027,2025,1,183825060080,15474665079,10378880677,679857754281,349999613212,2025-05-14
G0027,2025,2,194145387077,11013155214,8398841944,701837760120,361315206060,2025-08-14
G0027,2025,3,203865223716,17729597934,12932443873,697626270169,359147076264,2025-11-14
G0027,2025,4,236578476913,21825873551,14671375314,706118516167,363518994942,2026-02-13
G0027,2026,1,198732061823,13563304894,11290805977,707316593883,364135780931,2026-05-14
G0027,2026,2,193428619815,16312393544,9893303585,700680547733,360719458074,2026-08-14
G0028,2023,3,818981663,152443949,95686343,6946480764,3040003823,2023-11-14
G0028,2023,4,935358882,202631698,109436735,7164409806,3135376594,2024-02-14
G0028,2024,1,757867267,94766125,61119079,7229313037,3163780339,2024-05-14
G0028,2024,2,775350999,150676176,78841696,7121426186,3116565577,2024-08-14
G0028,2024,3,839201286,149503922,107746854,7307931471,3198186299,2024-11-14
G0028,2024,4,979225480,159820245,118470496,7303082934,3196064423,2025-02-14
G0028,2025,1,808111559,115887082,76329713,7487550605,3276793420,2025-05-14
G0028,2025,2,945951779,204190662,115012781,7650733573,3348207546,2025-08-14
G0028,2025,3,836283333,120633383,64816891,7537020853,3298443195,2025-11-14
G0028,2025,4,898687998,140103869,89275130,7356269904,3219340756,2026-02-13
G0028,2026,1,824109960,148969217,97482161,7470552778,3269354624,2026-05-14
G0028,2026,2,848288402,141478067,92521930,7523654437,3292593621,2026-08-14
G0029,2023,3,202421752622,20946807166,13797383952,617152985824,408835833661,2023-11-14
G0029,2023,4,226941256218,24026673297,18326859725,624201508309,413505159796,2024-02-14
